"","SAMPLID","LEN","CLEN"
"233",20200318,195,15
"234",20200318,200,32
"235",20200318,205,20
"236",20200318,210,23
"237",20200318,215,6
"238",20200318,220,6
"239",20200318,225,1
"240",20200318,230,2
"241",20200319,150,4
"242",20200319,155,2
"243",20200319,160,1
"244",20200319,165,2
"245",20200319,170,4
"246",20200319,175,4
"247",20200319,180,8
"248",20200319,185,10
"249",20200319,190,13
"250",20200319,195,13
"251",20200319,200,37
"252",20200319,205,16
"253",20200319,210,22
"254",20200319,215,15
"255",20200319,220,5
"256",20200319,225,4
"257",20200319,230,1
"258",20200319,235,2
"259",20200319,240,1
"260",20200320,170,2
"261",20200320,150,1
"262",20200320,160,1
"263",20200320,180,6
"264",20200320,185,8
"265",20200320,190,21
"266",20200320,195,17
"267",20200320,200,40
"268",20200320,205,21
"269",20200320,210,27
"270",20200320,215,1
"271",20200320,220,2
"272",20200320,260,1
"273",20200320,280,1
"274",20200320,155,1
"275",20200321,140,1
"276",20200321,150,2
"277",20200321,155,3
"278",20200321,160,1
"279",20200321,165,2
"280",20200321,170,2
"281",20200321,175,5
"282",20200321,180,34
"283",20200321,185,22
"284",20200321,190,54
"285",20200321,195,52
"286",20200321,200,79
"287",20200321,205,43
"288",20200321,210,35
"289",20200321,215,14
"290",20200321,220,13
"291",20200321,225,1
"292",20200322,160,1
"293",20200322,165,1
"294",20200322,170,3
"295",20200322,175,3
"296",20200322,180,15
"297",20200322,185,9
"298",20200322,190,35
"299",20200322,195,23
"300",20200322,200,51
"301",20200322,205,25
"302",20200322,210,28
"303",20200322,215,5
"304",20200322,220,8
"305",20200322,225,2
"306",20200322,230,1
"307",20200322,235,1
"308",20200348,180,1
"309",20200348,185,7
"310",20200348,190,17
"311",20200348,195,22
"312",20200348,200,26
"313",20200348,205,46
"314",20200348,210,19
"315",20200348,215,10
"316",20200348,220,3
"317",20200348,230,4
"318",20200348,235,1
"319",20200348,245,1
"320",20200349,170,2
"321",20200349,175,2
"322",20200349,180,3
"323",20200349,185,6
"324",20200349,190,20
"325",20200349,195,40
"326",20200349,200,59
"327",20200349,205,40
