"","SAMPLID","AREA","OLD_SAMP","SDATE","SPEC","SAMP_TYPE","GEAR","BD","LAT","LON","LF_SAMPLER","FISHING_VESSEL_1","FISHING_VESSEL_2","FISHING_VESSEL_3","CARRIER","FOREIGN_VESSEL","CRUISE","SETNO","COMMENTS","PLANT","AGER1","AGER2","MARKET_WEIGHT_KG","HOW_LF_OBTAINED","HOW_DETAIL_OBTAINED","DETAIL_SAMPLER","WEIR_CODE"
"699",20200057,511,NA,2020-06-03,60,5,2,0,4419,6701,"Ed Blackier","Brunswick Provider",NA,NA,NA,NA,NA,NA,"NE Bank, 5YB, 2 of 2, Tally #6","Atlantic Catch Data",NA,NA,18500,NA,NA,NA,NA
"700",20200058,511,NA,2020-06-03,60,4,2,0,4416.18,6700.83,"Ken Dougan, Connors","Canada 100",NA,NA,NA,NA,NA,NA,"NE Bank, 5YB, 1 of 2","Connors #10, Blacks Harbour",NA,NA,3500,NA,NA,NA,NA
"701",20200952,465,NA,2020-10-02,60,5,2,0,4318.02,6608.2,"Dale Knickle","Sealife II",NA,NA,NA,NA,NA,NA,"Seal Island, 4XS, 1 of 2","Atlantic Catch Data",NA,NA,9000,NA,NA,NA,NA
"702",20200953,463,NA,2020-10-02,60,4,8,0,4401.4,6431.65,"Wendy Deveau","Better on the Ebb",NA,NA,NA,NA,NA,NA,"Little Hope","Scotia Garden Seafood Inc.",NA,NA,10000,NA,NA,NA,NA
"703",20200954,467,NA,2020-10-03,60,4,2,0,4444,6643,"Walter Beach","Brunswick Provider",NA,NA,NA,NA,NA,NA,"Long Island, Grand Manan, 4XS, 1 of 2","Connors #10, Blacks Harbour",NA,NA,31500,NA,NA,NA,NA
"704",20200955,467,NA,2020-10-03,60,5,2,0,4444,6643,"Ed Blackier","Brunswick Provider",NA,NA,NA,NA,NA,NA,"Long Island, Grand Manan, 4XS, 2 of 2, Tally #67","Atlantic Catch Data",NA,NA,31500,NA,NA,NA,NA
"705",20200956,467,NA,2020-10-03,60,4,2,0,4444.44,6642.86,"Walter Beach","Canada 100",NA,NA,NA,NA,NA,NA,"Long Island, Grand Manan, 4XS, 1 of 2","Comeau's Sea Foods Ltd.",NA,NA,24000,NA,NA,NA,NA
"706",20200957,467,NA,2020-10-03,60,5,2,0,4444.44,6642.86,"Ed Blackier","Canada 100",NA,NA,NA,NA,NA,NA,"Long Island, Grand Manan, 4XS, 2 of 2, Tally #68","Atlantic Catch Data",NA,NA,24000,NA,NA,NA,NA
"707",20200958,465,NA,2020-10-03,60,5,2,0,4323.05,6612.68,"Dale Knickle","Lady Janice II",NA,NA,NA,NA,NA,NA,"German Bank, 4XQ","Atlantic Catch Data",NA,NA,74000,NA,NA,NA,NA
"708",20200959,465,NA,2020-10-03,60,5,2,0,4324.7,6613.55,"Dale Knickle","Lady Melissa",NA,NA,NA,NA,NA,NA,"Seal Island, 4XQ, 1 of 2","Atlantic Catch Data",NA,NA,43000,NA,NA,NA,NA
"709",20200960,465,NA,2020-10-02,60,4,2,1,4318.02,6608.2,"Nicole Comeau","Sealife II",NA,NA,NA,NA,NA,NA,"Seal Island, 4XS, 2 of 2","Comeau's Sea Foods Ltd.","LC",NA,9000,NA,NA,"Claire Neufeld",NA
"710",20200961,465,NA,2020-10-02,60,4,2,1,4332,6612.7,"Nicole Comeau","Sealife II",NA,NA,NA,NA,NA,NA,"Gannet Dry Ledge, 4XQ; Ager1_Reading2 is LC","Comeau's Sea Foods Ltd.","LC",NA,18000,NA,NA,"Claire Neufeld",NA
"711",20200962,465,NA,2020-10-03,60,4,2,0,4324.7,6613.55,"Nicole Comeau","Lady Melissa",NA,NA,NA,NA,NA,NA,"Seal Island, 4XQ, 2 of 2","Comeau's Sea Foods Ltd.",NA,NA,43000,NA,NA,NA,NA
"712",20200995,467,NA,2020-10-07,60,4,2,0,4457.04,6641.8,"Ken Dougan, Connors","Brunswick Provider",NA,NA,NA,NA,NA,NA,"Wolves, 4XS, 1 of 2","Connors #10, Blacks Harbour",NA,NA,63000,NA,NA,NA,NA
"713",20200996,467,NA,2020-10-07,60,5,2,0,4457.04,6641.8,"Dave Welch","Brunswick Provider",NA,NA,NA,NA,NA,NA,"Wolves, 4XS, 2 of 2","Atlantic Catch Data",NA,NA,63000,NA,NA,NA,NA
"714",20200997,467,NA,2020-10-07,60,4,2,0,4456.9,6644.52,"Walter Beach","Canada 100",NA,NA,NA,NA,NA,NA,"Wolves, 4XS, 1 of 2","Connors #10, Blacks Harbour",NA,NA,61000,NA,NA,NA,NA
"715",20200998,467,NA,2020-10-07,60,5,2,0,4456.9,6644.52,"Dave Welch","Canada 100",NA,NA,NA,NA,NA,NA,"Wolves, 4XS, 2 of 2","Atlantic Catch Data",NA,NA,61000,NA,NA,NA,NA
"716",20200999,466,NA,2020-10-07,60,4,2,0,4422,6621,"Ken Dougan, Connors","Fundy Monarch",NA,NA,NA,NA,NA,NA,"Long Island Shore, 4XR, 1 of 2","Connors #10, Blacks Harbour",NA,NA,81500,NA,NA,NA,NA
"717",20201000,466,NA,2020-10-07,60,5,2,0,4422,6621,"Dave Welch","Fundy Monarch",NA,NA,NA,NA,NA,NA,"Long Island Shore, 4XR, 2 of 2","Atlantic Catch Data",NA,NA,81500,NA,NA,NA,NA
"718",20201001,466,NA,2020-10-07,60,5,2,0,4419,6624,"Dale Knickle","Lady Janice II",NA,NA,NA,NA,NA,NA,"Long Island Shore, 4XR","Atlantic Catch Data",NA,NA,100000,NA,NA,NA,NA
"719",20201002,466,NA,2020-10-07,60,4,2,1,4419,6623,"Nicole Comeau","Lady Melissa",NA,NA,NA,NA,NA,NA,"Long Island Shore, 4XR, 1 of 2; Ager1_Reading2 is LC","Comeau's Sea Foods Ltd.","LC",NA,46500,NA,NA,"Claire Neufeld",NA
"720",20201003,466,NA,2020-10-07,60,5,2,0,4419,6623,"Dale Knickle","Lady Melissa",NA,NA,NA,NA,NA,NA,"Long Island Shore, 4XR, 2 of 2","Atlantic Catch Data",NA,NA,46500,NA,NA,NA,NA
"721",20201004,466,NA,2020-10-07,60,4,2,1,4421,6623,"Wendy Deveau","Leroy and Barry II",NA,NA,NA,NA,NA,NA,"Long Island Shore, 4XR, 1 of 2; Ager1_Reading2 is LC","Scotia Garden Seafood Inc.","LC",NA,27500,NA,NA,"Claire Neufeld",NA
